Initial.Definition,Study,Zhao.ND.1,Zhao.FD.1,specie i,specie j,Kingdom,Treatment,a_ii_AP,a_jj_AP,a_ij_AP,a_ji_AP,Si,Sj,Lambdai,Lambdaj,gii,gjj,gij,gji,a_ii_LV,a_jj_LV,a_ij_LV,a_ji_LV,a_ii_AP_expo,a_jj_AP_expo,a_ij_AP_expo,a_ji_AP_expo,Model use
Godoy,Godoy & al. 2014,,,AMME,ERBO,Plant,Control,0.332218181,5.42496308,2.86442381,,,,42.80778823,1.318463047,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,ERCI,Plant,Control,0.332218181,1.28296777,1.85373466,,,,42.80778823,279.5609977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,EUPE,Plant,Control,0.332218181,2.11653044,2.6438287,,,,42.80778823,39.06629977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,GECA,Plant,Control,0.332218181,0.33282495,0.67440336,0.79325569,,,42.80778823,2.665849213,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,HECO,Plant,Control,0.332218181,1.88081094,0.50353844,2.91140888,,,42.80778823,1044.834032,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,LACA,Plant,Control,0.332218181,0.36019167,1.10190162,1.05862576,,,42.80778823,22.45062579,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,LOPU,Plant,Control,0.332218181,0.88435764,0.7648468,0.09533295,,,42.80778823,19.56142037,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,LOWR,Plant,Control,0.332218181,0.59860742,0.80794771,0.29117912,,,42.80778823,163.2340547,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,MEPO,Plant,Control,0.332218181,0.0875983,0.34278205,0.52327145,,,42.80778823,16.01276853,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,AT,Plant,Control,0.332218181,2.01847529,,1.24433172,,,42.80778823,14.63143066,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,PLER,Plant,Control,0.332218181,0.1395544,0.2101502,0.7045401,,,42.80778823,350.2555682,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,SACA,Plant,Control,0.332218181,0.57484513,0.10245453,0.30816101,,,42.80778823,368.4726321,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,AGHE,Plant,Control,0.03991319,0.47522038,,,,,2.393453498,129.3572233,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,AGRE,Plant,Control,0.03991319,0.96370026,,,,,2.393453498,328.68665,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,AMME,Plant,Control,0.03991319,0.33221818,,0.11828928,,,2.393453498,42.80778823,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,AR,Plant,Control,0.03991319,0.03991319,0.03991319,0.03991319,,,2.393453498,2.393453498,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,CEME,Plant,Control,0.03991319,2.11144129,0.37744131,0.72311272,,,2.393453498,547.27085,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,CLPU,Plant,Control,0.03991319,0.29194102,,0.1439588,,,2.393453498,4.440791483,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,ERBO,Plant,Control,0.03991319,5.42496308,,,,,2.393453498,1.318463047,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,ERCI,Plant,Control,0.03991319,1.28296777,0.05558841,,,,2.393453498,279.5609977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,EUPE,Plant,Control,0.03991319,2.11653044,,0.68267198,,,2.393453498,39.06629977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,GECA,Plant,Control,0.03991319,0.33282495,0.53761254,,,,2.393453498,2.665849213,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,HECO,Plant,Control,0.03991319,1.88081094,0.15356431,6.190263,,,2.393453498,1044.834032,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,LACA,Plant,Control,0.03991319,0.36019167,,2.44120125,,,2.393453498,22.45062579,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,LOPU,Plant,Control,0.03991319,0.88435764,,,,,2.393453498,19.56142037,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,LOWR,Plant,Control,0.03991319,0.59860742,0.20512515,1.46153847,,,2.393453498,163.2340547,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,MEPO,Plant,Control,0.03991319,0.0875983,,2.5373964,,,2.393453498,16.01276853,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,AT,Plant,Control,0.03991319,2.01847529,0.16592198,5.21760745,,,2.393453498,14.63143066,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,PLER,Plant,Control,0.03991319,0.1395544,0.17904464,0.49218229,,,2.393453498,350.2555682,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AR,SACA,Plant,Control,0.03991319,0.57484513,,0.19160985,,,2.393453498,368.4726321,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,AGHE,Plant,Control,2.11144129,0.47522038,0.41028924,10.0668455,,,547.27085,129.3572233,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,AGRE,Plant,Control,2.11144129,0.96370026,0.16185491,,,,547.27085,328.68665,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,AMME,Plant,Control,2.11144129,0.33221818,0.65084459,0.61846243,,,547.27085,42.80778823,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,AR,Plant,Control,2.11144129,0.03991319,0.72311272,0.37744131,,,547.27085,2.393453498,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,CEME,Plant,Control,2.11144129,2.11144129,2.11144129,2.11144129,,,547.27085,547.27085,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,CLPU,Plant,Control,2.11144129,0.29194102,0.9760486,0.17033849,,,547.27085,4.440791483,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,ERBO,Plant,Control,2.11144129,5.42496308,13.4271118,1.80575146,,,547.27085,1.318463047,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,ERCI,Plant,Control,2.11144129,1.28296777,1.75628656,7.86682941,,,547.27085,279.5609977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,EUPE,Plant,Control,2.11144129,2.11653044,0.75241143,0.28201275,,,547.27085,39.06629977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,GECA,Plant,Control,2.11144129,0.33282495,1.61440835,0.35126339,,,547.27085,2.665849213,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,HECO,Plant,Control,2.11144129,1.88081094,1.25082328,0.4855395,,,547.27085,1044.834032,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,LACA,Plant,Control,2.11144129,0.36019167,0.86859451,1.91270937,,,547.27085,22.45062579,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,LOPU,Plant,Control,2.11144129,0.88435764,2.18183074,2.57133149,,,547.27085,19.56142037,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,LOWR,Plant,Control,2.11144129,0.59860742,0.62295179,1.92393348,,,547.27085,163.2340547,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,MEPO,Plant,Control,2.11144129,0.0875983,0.1200172,2.62115002,,,547.27085,16.01276853,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,AT,Plant,Control,2.11144129,2.01847529,0.59006149,2.33656769,,,547.27085,14.63143066,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,PLER,Plant,Control,2.11144129,0.1395544,0.0837684,1.43553209,,,547.27085,350.2555682,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CEME,SACA,Plant,Control,2.11144129,0.57484513,0.84189707,0.37092062,,,547.27085,368.4726321,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,AGHE,Plant,Control,0.291941017,0.47522038,0.76922593,,,,4.440791483,129.3572233,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,AGRE,Plant,Control,0.291941017,0.96370026,,,,,4.440791483,328.68665,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,AMME,Plant,Control,0.291941017,0.33221818,0.06564174,18.6172178,,,4.440791483,42.80778823,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,AR,Plant,Control,0.291941017,0.03991319,0.1439588,,,,4.440791483,2.393453498,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,CEME,Plant,Control,0.291941017,2.11144129,0.17033849,0.9760486,,,4.440791483,547.27085,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,CLPU,Plant,Control,0.291941017,0.29194102,0.29194102,0.29194102,,,4.440791483,4.440791483,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,ERBO,Plant,Control,0.291941017,5.42496308,,,,,4.440791483,1.318463047,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,ERCI,Plant,Control,0.291941017,1.28296777,2.07593827,,,,4.440791483,279.5609977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,EUPE,Plant,Control,0.291941017,2.11653044,0.33575532,1.09903175,,,4.440791483,39.06629977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,GECA,Plant,Control,0.291941017,0.33282495,0.94060273,,,,4.440791483,2.665849213,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,HECO,Plant,Control,0.291941017,1.88081094,0.00659858,2.33838991,,,4.440791483,1044.834032,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,LACA,Plant,Control,0.291941017,0.36019167,0.18287331,1.86926528,,,4.440791483,22.45062579,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,LOPU,Plant,Control,0.291941017,0.88435764,,,,,4.440791483,19.56142037,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,LOWR,Plant,Control,0.291941017,0.59860742,0.39743333,0.40357963,,,4.440791483,163.2340547,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,MEPO,Plant,Control,0.291941017,0.0875983,,0.39635559,,,4.440791483,16.01276853,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,AT,Plant,Control,0.291941017,2.01847529,0.2292499,,,,4.440791483,14.63143066,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,PLER,Plant,Control,0.291941017,0.1395544,0.07708214,1.42006352,,,4.440791483,350.2555682,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,CLPU,SACA,Plant,Control,0.291941017,0.57484513,0.012113,,,,4.440791483,368.4726321,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,AGHE,Plant,Control,5.424963081,0.47522038,,5.66091252,,,1.318463047,129.3572233,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,AGRE,Plant,Control,5.424963081,0.96370026,,,,,1.318463047,328.68665,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,AMME,Plant,Control,5.424963081,0.33221818,,2.86442381,,,1.318463047,42.80778823,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,AR,Plant,Control,5.424963081,0.03991319,,,,,1.318463047,2.393453498,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,CEME,Plant,Control,5.424963081,2.11144129,1.80575146,13.4271118,,,1.318463047,547.27085,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,CLPU,Plant,Control,5.424963081,0.29194102,,,,,1.318463047,4.440791483,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,ERBO,Plant,Control,5.424963081,5.42496308,5.42496308,5.42496308,,,1.318463047,1.318463047,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,ERCI,Plant,Control,5.424963081,1.28296777,,1.2320289,,,1.318463047,279.5609977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,EUPE,Plant,Control,5.424963081,2.11653044,18.961925,0.50913261,,,1.318463047,39.06629977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,GECA,Plant,Control,5.424963081,0.33282495,3.52306173,,,,1.318463047,2.665849213,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,HECO,Plant,Control,5.424963081,1.88081094,0.51642406,2.19709601,,,1.318463047,1044.834032,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,LACA,Plant,Control,5.424963081,0.36019167,0.04290309,4.05849216,,,1.318463047,22.45062579,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,LOPU,Plant,Control,5.424963081,0.88435764,,0.42408663,,,1.318463047,19.56142037,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,LOWR,Plant,Control,5.424963081,0.59860742,0.07526283,9.35718548,,,1.318463047,163.2340547,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,MEPO,Plant,Control,5.424963081,0.0875983,,0.82903353,,,1.318463047,16.01276853,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,AT,Plant,Control,5.424963081,2.01847529,0.05325396,,,,1.318463047,14.63143066,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,PLER,Plant,Control,5.424963081,0.1395544,5.39678505,2.50493298,,,1.318463047,350.2555682,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERBO,SACA,Plant,Control,5.424963081,0.57484513,0.29902257,4.56447212,,,1.318463047,368.4726321,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,AGHE,Plant,Control,1.282967767,0.47522038,5.80883213,6.94744375,,,279.5609977,129.3572233,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,AGRE,Plant,Control,1.282967767,0.96370026,,,,,279.5609977,328.68665,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,AMME,Plant,Control,1.282967767,0.33221818,,1.85373466,,,279.5609977,42.80778823,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,AR,Plant,Control,1.282967767,0.03991319,,0.05558841,,,279.5609977,2.393453498,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,CEME,Plant,Control,1.282967767,2.11144129,7.86682941,1.75628656,,,279.5609977,547.27085,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,CLPU,Plant,Control,1.282967767,0.29194102,,2.07593827,,,279.5609977,4.440791483,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,ERBO,Plant,Control,1.282967767,5.42496308,1.2320289,,,,279.5609977,1.318463047,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,ERCI,Plant,Control,1.282967767,1.28296777,1.28296777,1.28296777,,,279.5609977,279.5609977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,EUPE,Plant,Control,1.282967767,2.11653044,1.70373895,,,,279.5609977,39.06629977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,GECA,Plant,Control,1.282967767,0.33282495,1.70872925,0.10025636,,,279.5609977,2.665849213,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,HECO,Plant,Control,1.282967767,1.88081094,0.38983644,5.91782631,,,279.5609977,1044.834032,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,LACA,Plant,Control,1.282967767,0.36019167,,1.60754751,,,279.5609977,22.45062579,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,LOPU,Plant,Control,1.282967767,0.88435764,0.06580624,2.27233272,,,279.5609977,19.56142037,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,LOWR,Plant,Control,1.282967767,0.59860742,,0.99661904,,,279.5609977,163.2340547,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,MEPO,Plant,Control,1.282967767,0.0875983,,3.72316928,,,279.5609977,16.01276853,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,AT,Plant,Control,1.282967767,2.01847529,0.37801746,0.26305461,,,279.5609977,14.63143066,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,PLER,Plant,Control,1.282967767,0.1395544,0.18940578,1.75677622,,,279.5609977,350.2555682,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,ERCI,SACA,Plant,Control,1.282967767,0.57484513,,3.53678047,,,279.5609977,368.4726321,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,AGHE,Plant,Control,2.11653044,0.47522038,0.34792319,3.4885673,,,39.06629977,129.3572233,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,AGRE,Plant,Control,2.11653044,0.96370026,,3.65447097,,,39.06629977,328.68665,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,AMME,Plant,Control,2.11653044,0.33221818,,2.6438287,,,39.06629977,42.80778823,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,AR,Plant,Control,2.11653044,0.03991319,0.68267198,,,,39.06629977,2.393453498,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,CEME,Plant,Control,2.11653044,2.11144129,0.28201275,0.75241143,,,39.06629977,547.27085,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,CLPU,Plant,Control,2.11653044,0.29194102,1.09903175,0.33575532,,,39.06629977,4.440791483,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,ERBO,Plant,Control,2.11653044,5.42496308,0.50913261,18.961925,,,39.06629977,1.318463047,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,ERCI,Plant,Control,2.11653044,1.28296777,,1.70373895,,,39.06629977,279.5609977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,EUPE,Plant,Control,2.11653044,2.11653044,2.11653044,2.11653044,,,39.06629977,39.06629977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,GECA,Plant,Control,2.11653044,0.33282495,0.75589411,,,,39.06629977,2.665849213,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,HECO,Plant,Control,2.11653044,1.88081094,0.05034534,0.18461816,,,39.06629977,1044.834032,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,LACA,Plant,Control,2.11653044,0.36019167,0.1317254,0.80598099,,,39.06629977,22.45062579,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,EUPE,LOPU,Plant,Control,2.11653044,0.88435764,1.05021842,0.30621921,,,39.06629977,19.56142037,,,,,,,,,,,,,annual plant model
